Facility Name|Health Facility Type|Catchment Area|Ownership Major Classification|Region Name                                             |Region PSGC|Province Name |Province PSGC|City/Municipality Name|Barangay Name|Latitude|Longitude|Precision Latitude/Longitude|catchment_area_icon
MEISIC HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|BINONDO|BARANGAY 288|14.602139|120.973839|High|pin
INTRAMUROS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|INTRAMUROS|BARANGAY 657|14.5872914|120.978812|High|pin
JOSE FABELLA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|MALATE|BARANGAY 724|14.5696094|120.9948712|High|pin
ROSARIO REYES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|MALATE|BARANGAY 702|14.5694871|120.9878414|High|pin
SAN ANDRES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|MALATE|BARANGAY 738|14.573183|120.998662|High|pin
M.C. ICASIANO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PACO|BARANGAY 812|14.5791992|121.0039151|High|pin
PACO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PACO|BARANGAY 682|14.582093|120.997655|High|pin
VALENTINA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PACO|BARANGAY 814|14.5796773|121.0009495|High|pin
BAGONG BARANGAY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PANDACAN|BARANGAY 842|14.585713|121.001145|High|pin
BAGONG LIPUNAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PANDACAN|BARANGAY 837|14.5919102|121.0119933|High|pin
ESPERANZA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PANDACAN|BARANGAY 842|14.6006291|121.012996|High|pin
ISIDRO MENDOZA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PANDACAN|BARANGAY 848|14.5923711|121.0046115|High|pin
KAHILUM HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PANDACAN|BARANGAY 870|14.5843319|121.0056949|High|pin
CORAZON AQUINO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|PORT AREA|BARANGAY 649|14.591358|120.957197|High|pin
A. MABINI HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|QUIAPO|BARANGAY 392|14.6007908|120.9864781|High|pin
SAN SEBASTIAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|QUIAPO|BARANGAY 390|14.598857|120.989071|High|pin
CALABASH HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 534|14.61172|121.00353|High|pin
D. BELMONTE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 478|14.611805|120.992925|High|pin
D. SANTIAGO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 580|14.604732|121.005488|High|pin
DAPITAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 502|14.6175616|120.9961383|High|pin
EARNSHAW HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 458|14.6059686|120.9930463|High|pin
F. LEGARDA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 550|14.60891|121.00131|High|pin
FAJARDO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 456|14.607921|120.9950491|High|pin
LUZVIMINDA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 558|14.61063|121.0073|High|pin
M. EARNSHAW HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 458|14.60593|120.9932|High|pin
M. F. JHOCSON HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 409|14.60112|120.99604|High|pin
MA. CLARA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 483|14.6179553|120.9907544|High|pin
PALTOC HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 421|14.604938|121.003579|High|pin
PAMANA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 598|14.5998021|121.0194113|High|pin
SAN DIEGO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAMPALOC|BARANGAY 499|14.618996|120.990947|High|pin
SAN MIGUEL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAN MIGUEL|BARANGAY 645|14.5925|120.9907|Medium|pin
SAN NICOLAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SAN NICOLAS|BARANGAY 285|14.5985848|120.9709712|High|pin
ARSENIO H. LACSON HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA ANA|BARANGAY 884|14.5806801|121.0136713|High|pin
BACOOD HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA ANA|BARANGAY 803|14.590343|121.0174624|High|pin
BUHAY MAHALAGA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA ANA|BARANGAY 776|14.5741466|121.0095524|High|pin
JOSE VICENCIO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA ANA|BARANGAY 894|14.587706|121.019352|High|pin
PEDRO GIL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA ANA|BARANGAY 803|14.5712846|121.0009084|High|pin
BARANGAY 310 HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA CRUZ|BARANGAY 310|14.6043505|120.9844958|High|pin
DIMASALANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA CRUZ|BARANGAY 368|14.6227366|120.9874593|High|pin
F. LANUZA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA CRUZ|BARANGAY 334|14.612523|120.981456|High|pin
VALERIANO FUGOSO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|SANTA CRUZ|BARANGAY 352|14.61631|120.98674|Medium|pin
ATANG DE LA RAMA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 175|14.629097|120.971749|High|pin
