ID|Facility_Code|Facility Name|Region Name|Province_name|City/Municipality Name|Barangay Name|Health Facility Type|Ownership Major Classification|Date Operational|Operational Status|Functionality_status|total_no_of_days_operational_in_week|opeational_days_in_month|Machine_operation_hours_daily|total_hours_operation_in_month|Total Machines|Combined Total Modules of ALL GX machines|Combined Total of Functional Modules|Combined Total of Non-Functional Modules|avg_time_to_complete_test_in_hr|Estimated_test_can_be_done_in_month|Total_test_completed|Percentage_utilization|Xpert_utilization_rate|Percentage_availability|utilization_threshold|Latitude|Longitude|average_utilization|staddev_utilization|zscore|Open_From|Open_To|Source_latitude|Source_longitude|amount|Disease_type|STrider_allocated|stRider_location_lat|stRider_location_long|stRider_address|mean_utilization|std_deviation|zscore_calculated|UtilizationCategory|Source_lat|Source_lon|Source_lat_rad|Source_lon_rad|Latitude_rad|Longitude_rad|Distance_to_Source_km|Cluster|source_facility_icon|target_facility_icon|DrivingDistance|DrivingTime|route_path_string
1|DOH000000000000021|Klinika Bernardo|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|PINAGKAISAHAN|Rural Health Unit|Government|01-10-2018|Operational|Functional|5|20|12|240|2|8|8|0|3|640||0.0|0|100.0|0|14.72079382|121.036529|50.61693694|34.2588236|-1.477486137|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|136|Covid-19|EVANGELISTA, Jomar|14.676097|121.0435686|M2CQ+74 Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.0|Underutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2569263206662335|2.1124859462355996|16.715184786244425|Cluster_gthn_10km|car|place|7.8|00:20:09|LINESTRING (121.043572 14.676097,121.04351999999999 14.674900000000001,121.04373 14.676110000000003,121.03219000000003 14.677049999999992,121.02944 14.689299999999994,121.0279 14.690619999999996,121.03952000000004 14.721819999999994,121.03548 14.721859999999992,121.03568000000003 14.720389999999991,121.03613000000003 14.72035999999999)
2|DOH000000000000102|Payatas B Health Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|PAYATAS|Rural Health Unit|NCR, SECOND DISTRICT (Not a Province)|31-05-2019|Operational|Functional|1|4|12|48|1|4|2|2|3|32|135.0|96.56|33.75|50.0|1|14.71629|121.10131|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|2708|HIV|EVANGELISTA, Jomar|14.676097|121.0435686|M2CQ+74 Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2568477141783163|2.113616587978334|19.697762095497424|Cluster_gthn_10km|car|place|11.9|00:21:53|LINESTRING (121.043572 14.676097,121.04334999999998 14.671990000000001,121.04907999999999 14.673300000000003,121.06813000000004 14.663939999999995,121.06668000000003 14.662989999999995,121.0873000000001 14.699709999999994,121.08791000000011 14.699879999999995,121.10044000000016 14.717039999999994)
3|DOH000000000000178|W. Dela Paz Health Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|CITY OF PASIG|DELA PAZ|Rural Health Unit||17-12-2019|Operational|Functional|5|20|12|240|1|4|4|0|3|320|202.0|63.13|50.5|100.0|0|14.6134861|121.0959186|50.61693694|34.2588236|0.36525081|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|806|Covid-19|MIRANDA, Emmanuel N.|14.57636261|121.0920004|25 B Harrison, Pasig, 1607 Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.3652508098554228|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25505344763942533|2.113522490297042|12.437285156653141|Cluster_gthn_10km|car|place|5.9|00:14:31|LINESTRING (121.091993 14.576338,121.09116 14.57657,121.09078000000001 14.57651,121.09088 14.575300000000002,121.09881 14.575720000000004,121.10084999999998 14.577270000000004,121.09125999999996 14.599020000000003,121.09211999999997 14.603570000000001,121.09219999999998 14.606739999999999,121.09407999999998 14.606799999999996)
4|DOH000000000000502|Dr. Jose N. Rodriguez Memorial Hospital|NATIONAL CAPITAL REGION|NCR, THIRD DISTRICT|CALOOCAN CITY|BARANGAY 188|Hospital|Government|19-12-2011|Operational|Functional|5|20|12|240|2|8|7|1|3|560|221.0|39.46|27.63|87.5|0|14.766856|121.06442|50.61693694|34.2588236|-0.325666084|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|314|TB|DELA CRUZ, Aaron Joseph C.|14.7219892|121.0344447|P28C+M64, Novaliches, Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|-0.32566608440991585|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2577302573678798|2.1129727360172734|22.563963336870337|Cluster_gthn_10km|car|place|8.7|00:24:59|LINESTRING (121.0345 14.72205,121.03461999999999 14.7221,121.03382999999997 14.72481,121.03455999999998 14.726709999999999,121.03547999999999 14.7261,121.03547999999999 14.725560000000002,121.03584 14.725740000000002,121.03606999999998 14.725420000000002,121.03734999999999 14.725409999999998,121.03782999999999 14.72553,121.03770999999998 14.72595,121.03800999999997 14.72664,121.03853999999997 14.72662,121.03259999999995 14.737190000000004,121.05761000000001 14.75715999999999,121.05782 14.756609999999991,121.06295000000001 14.760889999999991,121.06268 14.762489999999993,121.06256 14.76281999999999,121.06197000000003 14.763449999999992,121.06236000000004 14.76375999999999,121.06373000000005 14.766999999999985,121.06430000000005 14.766969999999985,121.06443000000004 14.766969999999985)
5|DOH000000000000540|East Avenue Medical Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|CENTRAL|Hospital|Government|21-03-2014|Operational|Functional|4|16|12|192|1|4|4|0|3|256|305.0|96.56|76.25|100.0|0|14.6423301|121.0480834|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|276|HIV|ESTOMATA, Anthony|14.6658717|121.0678729|5 Valerio Kalaw, Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2555568704088706|2.112687608558692|9.730622300167823|Cluster_10km|car|place|4.5|00:08:57|LINESTRING (121.067899 14.665975,121.06832 14.66597,121.06745999999998 14.66456,121.06812999999998 14.66394,121.05139 14.652920000000002,121.04826000000001 14.649080000000009,121.04707000000002 14.642150000000004,121.04775000000004 14.642020000000008)
6|DOH000000000000586|Jose R. Reyes Memorial Medical Center|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|SANTA CRUZ|BARANGAY 331|Hospital|Government|14-12-2022|Operational|Functional|1|4|12|48|1|4|4|0|3|64|40.0|62.5|10|100.0|0|14.61411|120.98201|50.61693694|34.2588236|0.346861387|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|447|HIV|CALISIN, Carlo A.|14.67192|120.98271|2nd Flr, 1441-1449 Tayuman St, Santa Cruz, Manila, 1014 Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.3468613868141399|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2550643367486285|2.111534410180705|3.972044392087595|Cluster_5km|car|place|6.8|00:17:21|LINESTRING (120.98271 14.67192,120.98206 14.67193,120.98392999999997 14.657500000000006,120.9806399999999 14.632580000000011,120.98260999999985 14.614390000000007,120.98237899999985 14.614100000000008)
7|DOH000000000000615|Las Piñas General Hospital and Satellite Trauma Center|NATIONAL CAPITAL REGION|NCR, FOURTH DISTRICT|CITY OF LAS PINAS|PULANG LUPA UNO|Hospital|Government|01-11-2019|Operational|Functional|7|28|12|336|2|8|8|0|3|896|61.0|6.81|7.63|100.0|0|14.4717741|120.9740679|50.61693694|34.2588236|-1.278705231|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|2057|HIV|DELA CRUZ, Eleazar C.|14.4562418|120.9945891|FX5J+FFP, Las Piñas, Metro Manila, Philippines|50.61693693693694|34.258823595808344|-1.2787052309144913|Underutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2525801066498391|2.111395794386182|11.949835721951775|Cluster_gthn_10km|car|place|4.1|00:11:21|LINESTRING (120.994553 14.456244,120.9946 14.45684,120.99475000000005 14.460689999999998,120.97745999999997 14.471109999999987,120.97869999999998 14.473739999999987,120.98034999999999 14.473969999999985,120.97800999999997 14.474149999999986,120.97455999999994 14.471779999999983,120.97429999999994 14.472089999999982,120.97398399999994 14.471940999999982)
8|DOH000000000000655|Manila Public Health Laboratory|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|ERMITA|BARANGAY 666|Hospital||03-01-2015|Operational|Functional|4|16|12|192|1|4|1|3|3|64|232.0|96.56|58|25.0|1|14.57700748|120.9901531|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|1082|Covid-19|DOMINGO, Johanna Roman|14.589613|120.9749784|HXPQ+35G, Conde de Gamazo, Intramuros, Manila, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25441677561384146|2.111676534087024|0.47110697154071474|Cluster_5km|car|place|3.3|00:08:43|LINESTRING (120.97495 14.58959,120.9744 14.58912,120.97362 14.589929999999999,120.97839 14.59384,120.98063000000002 14.590170000000002,120.98459000000005 14.582380000000006,120.98822000000006 14.580840000000007,120.98847000000005 14.580680000000008,120.99044000000006 14.577030000000008,120.99018900000006 14.576926000000007)
9|DOH000000000000700|Pasig City General Hospital|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|CITY OF PASIG|MAYBUNGA|Hospital|NCR, SECOND DISTRICT (Not a Province)|29-11-2014|Operational|Functional|7|28|12|336|1|4|4|0|3|448|285.0|63.62|71.25|100.0|0|14.5723135|121.0993376|50.61693694|34.2588236|0.379553694|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|1884|HIV|MIRANDA, Emmanuel N.|14.57636261|121.0920004|25 B Harrison, Pasig, 1607 Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.379553694443087|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2543348502078187|2.113582163104168|12.206302986616274|Cluster_gthn_10km|car|place|1.6|00:04:59|LINESTRING (121.091993 14.576338,121.09116 14.57657,121.09078000000001 14.57651,121.09088 14.575300000000002,121.09851 14.575560000000005,121.10033000000001 14.573010000000004,121.09952000000001 14.572100000000004,121.09928900000001 14.572179000000004)
10|DOH000000000000715|Philippine Orthopedic Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|SANTA TERESITA|Hospital|NCR, SECOND DISTRICT (Not a Province)|28-04-2014|Operational|Functional|5|20|12|240|1|4|1|3|3|80|200.0|96.56|50|25.0|1|14.627411|121.003622|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|3293|TB|CRUZ, Ronaldo|14.6220442|121.025661|1180 E Rodriguez Sr. Ave, New Manila, Quezon City, 1112 Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2552964829924363|2.111911610738646|5.744796150064948|Cluster_10km|car|place|3.6|00:07:08|LINESTRING (121.025612 14.622181,121.01495999999997 14.61887,121.01248999999996 14.629279999999994,121.01121999999995 14.630629999999995,121.00663999999995 14.628539999999994,121.00373799999994 14.627173999999995)
